param-0-nm,param-1-n,param-2-m,Rewrite-for-gen-real,Rewrite-for-gen-sys,Rewrite-for-gen-user,Rewrite-for-gen:etransitivity-for-sides-real,Rewrite-for-gen:etransitivity-for-sides-sys,Rewrite-for-gen:etransitivity-for-sides-user,Rewrite-for-gen:generalize-hyps-for-rewriting-real,Rewrite-for-gen:generalize-hyps-for-rewriting-sys,Rewrite-for-gen:generalize-hyps-for-rewriting-user,Rewrite-for-gen-skip-cbv-real,Rewrite-for-gen-skip-cbv-sys,Rewrite-for-gen-skip-cbv-user,Rewrite-lhs-for-regression-quadratic-real,Rewrite-lhs-for-regression-quadratic-sys,Rewrite-lhs-for-regression-quadratic-user,Rewrite-lhs-for-skip-cbv-regression-quadratic-real,Rewrite-lhs-for-skip-cbv-regression-quadratic-sys,Rewrite-lhs-for-skip-cbv-regression-quadratic-user,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,do-reify-rhs-with:notypeclasses-refine-real,do-reify-rhs-with:notypeclasses-refine-sys,do-reify-rhs-with:notypeclasses-refine-user,do-reify-rhs-with:reify-hint-real,do-reify-rhs-with:reify-hint-sys,do-reify-rhs-with:reify-hint-user,do-rewrite-with:refine-interp-rewrite-real,do-rewrite-with:refine-interp-rewrite-sys,do-rewrite-with:refine-interp-rewrite-user,do-rewrite-with:refine-trans-real,do-rewrite-with:refine-trans-sys,do-rewrite-with:refine-trans-user,do-rewrite-with:vm-cast-no-check-real,do-rewrite-with:vm-cast-no-check-sys,do-rewrite-with:vm-cast-no-check-user,final-cbv-real,final-cbv-sys,final-cbv-user,prove-Wf-real,prove-Wf-sys,prove-Wf-user,prove-Wf-with:refine-real,prove-Wf-with:refine-sys,prove-Wf-with:refine-user,prove-Wf-with:reflexivity-real,prove-Wf-with:reflexivity-sys,prove-Wf-with:reflexivity-user,prove-Wf-with:split-real,prove-Wf-with:split-sys,prove-Wf-with:split-user,prove-Wf-with:vm-compute-real,prove-Wf-with:vm-compute-sys,prove-Wf-with:vm-compute-user,reification-real,reification-sys,reification-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,rewriting-real,rewriting-sys,rewriting-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user,vm-compute-and-unify-in-rewrite-real,vm-compute-and-unify-in-rewrite-sys,vm-compute-and-unify-in-rewrite-user
1,1,1,0.194,0.,0.193,0.,0.,0.,0.007,0.,0.007,0.2,0.,0.199,0.194,0.,0.194,0.2,0.,0.199,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.111,0.007,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.125,0.,0.124,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.01,0.,0.01,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.004,0.,0.004,0.138,0.,0.138,0.,0.,0.,0.,0.,0.,0.014,0.,0.014,0.009,0.,0.009,0.001,0.,0.001
2,1,2,0.122,0.003,0.118,0.,0.,0.,0.007,0.,0.007,0.117,0.,0.117,0.122,0.003,0.118,0.117,0.,0.117,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.113,0.008,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.062,0.003,0.058,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.075,0.003,0.071,0.002,0.,0.002,0.002,0.,0.002,0.011,0.,0.011,0.028,0.,0.028,0.001,0.,0.001
2,2,1,0.12,0.007,0.111,0.,0.,0.,0.007,0.,0.007,0.113,0.,0.113,0.12,0.007,0.112,0.113,0.,0.113,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.11,0.007,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.059,0.003,0.055,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.007,0.002,0.005,0.001,0.001,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.072,0.003,0.068,0.002,0.,0.002,0.002,0.,0.002,0.011,0.004,0.007,0.019,0.,0.019,0.001,0.,0.001
3,1,3,0.123,0.,0.123,0.,0.,0.,0.007,0.,0.007,0.114,0.,0.114,0.124,0.,0.123,0.114,0.,0.114,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.107,0.007,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.063,0.,0.063,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.007,0.,0.007,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.077,0.,0.076,0.01,0.,0.01,0.009,0.,0.009,0.011,0.,0.011,0.148,0.,0.148,0.001,0.,0.001
3,3,1,0.118,0.,0.117,0.,0.,0.,0.007,0.,0.007,0.112,0.,0.112,0.118,0.,0.118,0.112,0.,0.112,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.106,0.007,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.057,0.,0.057,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.071,0.,0.071,0.006,0.,0.006,0.007,0.,0.007,0.011,0.,0.011,0.041,0.,0.04,0.001,0.,0.001
4,1,4,0.12,0.,0.12,0.001,0.,0.001,0.007,0.,0.007,0.114,0.,0.114,0.121,0.,0.121,0.114,0.,0.114,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.1,0.007,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.059,0.,0.059,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.007,0.,0.007,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.072,0.,0.072,0.025,0.,0.025,0.025,0.,0.025,0.012,0.,0.012,0.133,0.,0.133,0.001,0.,0.001
4,2,2,0.123,0.,0.122,0.,0.,0.,0.009,0.,0.009,0.117,0.,0.117,0.123,0.,0.123,0.117,0.,0.117,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.104,0.011,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.06,0.,0.06,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.074,0.,0.074,0.013,0.,0.013,0.012,0.,0.012,0.011,0.,0.011,0.063,0.,0.063,0.001,0.,0.001
4,4,1,0.121,0.,0.121,0.,0.,0.,0.007,0.,0.007,0.115,0.,0.115,0.122,0.,0.121,0.115,0.,0.115,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.109,0.008,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.06,0.,0.06,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.074,0.,0.074,0.084,0.,0.084,0.094,0.,0.094,0.011,0.,0.011,0.057,0.,0.057,0.002,0.,0.002
5,1,5,0.195,0.,0.195,0.,0.,0.,0.007,0.,0.007,0.203,0.,0.202,0.195,0.,0.195,0.203,0.,0.203,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.116,0.011,0.,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.125,0.,0.125,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.01,0.,0.01,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.004,0.,0.004,0.139,0.,0.138,0.133,0.,0.133,0.136,0.,0.136,0.015,0.,0.015,0.34,0.,0.34,0.002,0.,0.002
5,5,1,0.123,0.004,0.119,0.,0.,0.,0.007,0.,0.007,0.125,0.003,0.121,0.124,0.004,0.12,0.126,0.003,0.122,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.111,0.007,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.062,0.003,0.058,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.076,0.003,0.072,0.032,0.,0.032,0.034,0.,0.034,0.012,0.,0.012,0.102,0.003,0.098,0.002,0.,0.002
