list length,iteration count,term size,Rewrite_for,rewriting,rewriting (vm only),"rewrite_strat(topdown,bottomup)","rewrite_strat(bottomup,bottomup)",cps+vm_compute,setoid_rewrite
1,1,1,0.223,0.012,0.,0.,0.,0.,0.052
1,2,2,0.107,0.011,0.,0.04,0.04,0.,0.028
2,1,2,0.104,0.012,0.,0.008,0.004,0.,0.024
1,3,3,0.104,0.012,0.003,0.016,0.015,0.,0.147
3,1,3,0.103,0.011,0.,0.019,0.016,0.,0.048
1,4,4,0.111,0.012,0.004,0.116,0.116,0.,0.151
2,2,4,0.1,0.011,0.003,0.024,0.024,0.,0.072
4,1,4,0.104,0.012,0.,0.036,0.039,0.,0.096
1,5,5,0.108,0.012,0.,0.199,0.199,0.,0.387
5,1,5,0.107,0.011,0.,0.071,0.072,0.,0.171
1,6,6,0.108,0.012,0.,0.248,0.267,0.,0.552
2,3,6,0.108,0.011,0.,0.092,0.088,0.,0.196
3,2,6,0.104,0.016,0.004,0.084,0.08,0.,0.172
6,1,6,0.104,0.008,0.,0.123,0.115,0.,0.288
1,7,7,0.108,0.012,0.004,0.248,0.248,0.,0.728
7,1,7,0.111,0.011,0.003,,,0.,0.451
1,8,8,0.104,0.011,0.003,,,0.,1.08
2,4,8,0.104,0.016,0.003,0.203,0.203,0.,0.415
4,2,8,0.112,0.012,0.,0.175,0.171,0.,0.351
8,1,8,0.107,0.016,0.004,,,0.004,
1,9,9,0.108,0.011,0.003,,,0.,
3,3,9,0.104,0.011,0.,0.248,0.244,0.,0.455
9,1,9,0.108,0.016,0.003,,,0.,
1,10,10,0.108,0.008,0.,,,0.,
2,5,10,0.107,0.016,0.003,0.42,0.42,0.,0.784
5,2,10,0.108,0.011,0.003,0.319,0.319,0.,0.66
10,1,10,0.111,0.011,0.003,,,0.003,
1,11,11,0.159,0.015,0.,,,0.,
11,1,11,0.144,0.012,0.003,,,0.,
1,12,12,0.107,0.012,0.004,,,0.,
2,6,12,0.112,0.012,0.004,0.763,0.775,0.,1.344
3,4,12,0.108,0.016,0.003,0.58,0.572,0.,0.976
4,3,12,0.112,0.012,0.004,0.524,0.524,0.,0.903
6,2,12,0.111,0.011,0.003,0.543,0.531,0.004,1.1
12,1,12,0.103,0.015,0.003,,,0.,
1,13,13,0.103,0.011,0.003,,,0.,
13,1,13,0.116,0.015,0.007,,,0.,
1,14,14,0.111,0.015,0.003,,,0.,
2,7,14,0.112,0.016,0.003,1.36,1.372,0.,2.192
7,2,14,0.112,0.016,0.003,,,0.,1.739
14,1,14,0.108,0.016,0.004,,,0.,
1,15,15,0.112,0.012,0.003,,,0.,
3,5,15,0.107,0.016,0.003,1.196,1.204,0.,1.8
5,3,15,0.111,0.012,0.003,1.015,0.999,0.,1.676
15,1,15,0.111,0.012,0.003,,,0.,
1,16,16,0.112,0.012,0.003,,,0.,
2,8,16,0.107,0.016,0.008,,,0.004,3.316
4,4,16,0.107,0.012,0.004,1.324,1.32,0.,1.939
8,2,16,0.112,0.019,0.004,,,0.,
16,1,16,0.112,0.016,0.004,,,0.,
1,17,17,0.112,0.016,0.004,,,0.,
17,1,17,0.111,0.015,0.007,,,0.,
1,18,18,0.112,0.015,0.007,,,0.,
2,9,18,0.112,0.016,0.003,,,0.,
3,6,18,0.111,0.016,0.003,2.3,2.343,0.,3.087
6,3,18,0.112,0.016,0.003,1.719,1.715,0.,2.815
9,2,18,0.112,0.016,0.003,,,0.,
18,1,18,0.112,0.015,0.008,,,0.,
1,19,19,0.112,0.015,0.008,,,0.,
19,1,19,0.112,0.016,0.008,,,0.,
1,20,20,0.107,0.015,0.003,,,0.,
2,10,20,0.112,0.016,0.003,,,0.,
4,5,20,0.115,0.016,0.007,2.772,2.788,0.,3.616
5,4,20,0.112,0.016,0.007,2.591,2.587,0.,3.507
10,2,20,0.112,0.016,0.007,,,0.,
20,1,20,0.111,0.015,0.003,,,0.,
1,21,21,0.116,0.015,0.007,,,0.003,
3,7,21,0.112,0.016,0.003,4.343,4.44,0.,4.991
7,3,21,0.115,0.016,0.003,,,0.,4.412
21,1,21,0.111,0.019,0.007,,,0.,
1,22,22,0.112,0.012,0.004,,,0.,
2,11,22,0.131,0.036,0.012,,,0.,
11,2,22,0.167,0.015,0.003,,,0.,
22,1,22,0.124,0.016,0.008,,,0.,
1,23,23,0.115,0.019,0.004,,,0.,
23,1,23,0.115,0.019,0.007,,,0.,
1,24,24,0.116,0.02,0.003,,,0.,
2,12,24,0.115,0.015,0.003,,,0.,
3,8,24,0.112,0.016,0.004,,,0.,7.575
4,6,24,0.12,0.016,0.003,5.708,5.791,0.,6.008
6,4,24,0.112,0.02,0.008,4.596,4.603,0.,5.856
8,3,24,0.115,0.016,0.008,,,0.,
12,2,24,0.115,0.015,0.003,,,0.,
24,1,24,0.119,0.024,0.012,,,0.,
1,25,25,0.112,0.02,0.004,,,0.,
5,5,25,0.115,0.016,0.003,5.808,5.824,0.,6.552
25,1,25,0.115,0.024,0.012,,,0.,
1,26,26,0.112,0.015,0.007,,,0.,
2,13,26,0.112,0.015,0.003,,,0.,
13,2,26,0.103,0.016,0.008,,,0.003,
26,1,26,0.115,0.02,0.008,,,0.,
1,27,27,0.112,0.015,0.003,,,0.,
3,9,27,0.12,0.019,0.008,,,0.,
9,3,27,0.116,0.019,0.003,,,0.,
27,1,27,0.115,0.02,0.007,,,0.,
1,28,28,0.112,0.016,0.008,,,0.004,
2,14,28,0.111,0.015,0.007,,,0.,
4,7,28,0.12,0.016,0.008,11.379,11.68,0.,9.728
7,4,28,0.115,0.019,0.003,,,0.,8.971
14,2,28,0.107,0.015,0.008,,,0.,
