tree depth,extra +0s per node,term size,term size+29,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite!,cbv;setoid_rewrite,cbv;rewrite_strat(topdown),cbv;rewrite_strat(bottomup)
1,1,7,123,0.3,0.024,0.004,0.,0.04,0.004,0.048
1,2,10,126,0.191,0.02,0.,0.,0.008,0.039,0.016
1,3,13,129,0.192,0.024,0.004,0.004,0.015,0.004,0.024
2,1,15,247,0.188,0.02,0.004,0.048,0.016,0.008,0.016
1,4,16,132,0.191,0.019,0.,0.,0.103,0.004,0.032
1,5,19,135,0.3,0.024,0.,0.004,0.024,0.003,0.124
1,6,22,138,0.195,0.024,0.004,0.,0.032,0.004,0.064
2,2,22,254,0.196,0.024,0.004,0.,0.108,0.012,0.123
1,7,25,141,0.196,0.024,0.004,0.003,0.068,0.075,0.063
1,8,28,144,0.192,0.028,0.004,0.004,0.044,0.008,0.08
2,3,29,261,0.191,0.024,0.004,0.004,0.04,0.012,0.06
1,9,31,147,0.191,0.019,0.,0.008,0.052,0.008,0.083
3,1,31,495,0.195,0.027,0.003,0.,0.031,0.016,0.043
1,10,34,150,0.187,0.019,0.,0.003,0.056,0.012,0.096
2,4,36,268,0.192,0.024,0.004,0.,0.059,0.011,0.091
1,11,37,153,0.192,0.019,0.,0.004,0.064,0.008,0.112
1,12,40,156,0.196,0.024,0.,0.004,0.067,0.011,0.116
1,13,43,159,0.204,0.028,0.,0.008,0.071,0.016,0.127
2,5,43,275,0.192,0.024,0.004,0.003,0.071,0.015,0.115
1,14,46,162,0.195,0.024,0.,0.008,0.08,0.012,0.132
3,2,46,510,0.196,0.024,0.004,0.004,0.06,0.096,0.096
1,15,49,165,0.192,0.024,0.004,0.008,0.088,0.016,0.144
2,6,50,282,0.196,0.028,0.008,0.,0.087,0.016,0.148
1,16,52,168,0.192,0.016,0.,0.012,0.096,0.016,0.159
1,17,55,171,0.191,0.024,0.,0.011,0.1,0.019,0.184
2,7,57,289,0.199,0.027,0.003,0.003,0.104,0.019,0.175
1,18,58,174,0.192,0.024,0.,0.016,0.111,0.02,0.188
1,19,61,177,0.195,0.028,0.,0.012,0.112,0.019,0.195
3,3,61,525,0.196,0.024,0.004,0.004,0.096,0.023,0.164
4,1,63,991,0.204,0.028,0.008,0.004,0.068,0.036,0.103
1,20,64,180,0.196,0.028,0.004,0.016,0.124,0.024,0.224
2,8,64,296,0.196,0.024,0.004,0.008,0.119,0.019,0.2
1,21,67,183,0.195,0.024,0.003,0.016,0.132,0.024,0.236
1,22,70,186,0.196,0.024,0.004,0.016,0.135,0.024,0.259
2,9,71,303,0.192,0.024,0.004,0.012,0.135,0.028,0.259
1,23,73,189,0.192,0.02,0.004,0.019,0.144,0.028,0.251
1,24,76,192,0.195,0.024,0.,0.02,0.156,0.027,0.267
3,4,76,540,0.195,0.024,0.004,0.007,0.14,0.028,0.228
2,10,78,310,0.196,0.024,0.004,0.011,0.16,0.028,0.263
1,25,79,195,0.195,0.027,0.003,0.019,0.163,0.032,0.292
1,26,82,198,0.196,0.024,0.004,0.024,0.172,0.032,0.303
1,27,85,201,0.195,0.024,0.003,0.024,0.175,0.036,0.32
2,11,85,317,0.196,0.024,0.004,0.015,0.175,0.031,0.307
1,28,88,204,0.208,0.031,0.012,0.027,0.188,0.04,0.32
1,29,91,207,0.199,0.024,0.,0.028,0.192,0.04,0.375
3,5,91,555,0.199,0.027,0.003,0.012,0.175,0.036,0.292
2,12,92,324,0.195,0.024,0.003,0.016,0.268,0.036,0.34
1,30,94,210,0.195,0.024,0.003,0.027,0.204,0.04,0.379
4,2,94,1022,0.196,0.032,0.008,0.004,0.143,0.048,0.24
1,31,97,213,0.196,0.024,0.,0.028,0.208,0.043,0.4
2,13,99,331,0.196,0.028,0.004,0.019,0.216,0.039,0.367
1,32,100,216,0.191,0.024,0.003,0.032,0.227,0.044,0.4
1,33,103,219,0.204,0.028,0.,0.035,0.232,0.048,0.435
1,34,106,222,0.196,0.024,0.004,0.036,0.239,0.047,0.456
2,14,106,338,0.192,0.024,0.004,0.024,0.24,0.044,0.42
3,6,106,570,0.204,0.028,0.004,0.016,0.211,0.039,0.379
1,35,109,225,0.199,0.024,0.004,0.035,0.244,0.056,0.463
1,36,112,228,0.196,0.024,0.004,0.04,0.256,0.055,0.48
2,15,113,345,0.196,0.024,0.004,0.023,0.263,0.048,0.483
1,37,115,231,0.199,0.028,0.004,0.04,0.267,0.06,0.476
1,38,118,234,0.199,0.024,0.004,0.044,0.275,0.059,0.5
2,16,120,352,0.195,0.024,0.003,0.023,0.279,0.051,0.5
1,39,121,237,0.199,0.024,0.,0.043,0.288,0.068,0.527
3,7,121,585,0.211,0.032,0.004,0.016,0.251,0.047,0.463
1,40,124,240,0.196,0.024,0.004,0.043,0.292,0.067,0.527
4,3,125,1053,0.199,0.028,0.008,0.012,0.223,0.052,0.387
1,41,127,243,0.204,0.028,0.004,0.047,0.307,0.067,0.564
2,17,127,359,0.2,0.024,0.004,0.027,0.296,0.056,0.544
5,1,127,1983,0.204,0.04,0.02,0.004,0.152,0.075,0.236
1,42,130,246,0.199,0.024,0.004,0.052,0.316,0.079,0.548
1,43,133,249,0.195,0.024,0.003,0.051,0.327,0.08,0.592
2,18,134,366,0.196,0.028,0.004,0.031,0.311,0.067,0.556
1,44,136,252,0.204,0.031,0.004,0.06,0.339,0.08,0.619
3,8,136,600,0.203,0.031,0.007,0.019,0.296,0.059,0.556
1,45,139,255,0.204,0.028,0.004,0.059,0.348,0.088,0.62
2,19,141,373,0.196,0.024,0.004,0.039,0.336,0.067,0.619
1,46,142,258,0.199,0.024,0.003,0.06,0.355,0.092,0.656
