n,Rewrite_for,rewriting,rewriting (vm only),cbv,lazy,vm_compute,native(1)(real),native(2)(real),cbn,simpl
2,0.54,0.048,0.004,0.,0.,0.,0.123,0.141,0.,0.004
3,0.399,0.048,0.004,0.,0.,0.,0.118,0.137,0.036,0.032
5,0.403,0.048,0.004,0.,0.,0.,0.103,0.194,0.008,0.008
7,0.419,0.059,0.016,0.,0.,0.,0.129,0.148,0.02,0.02
9,0.411,0.051,0.008,0.,0.,0.,0.13,0.152,0.107,0.111
11,0.416,0.056,0.004,0.,0.028,0.,0.149,0.101,0.064,0.06
13,0.403,0.052,0.008,0.,0.,0.,0.093,0.11,0.091,0.087
15,0.403,0.051,0.007,0.,0.,0.,0.134,0.174,0.14,0.136
17,0.408,0.051,0.008,0.,0.,0.,0.129,0.149,0.172,0.176
19,0.399,0.048,0.008,0.,0.,0.,0.112,0.094,0.235,0.235
21,0.419,0.052,0.008,0.,0.004,0.,0.11,0.156,0.308,0.312
23,0.408,0.052,0.008,0.,0.,0.004,0.124,0.099,0.391,0.395
25,0.403,0.044,0.012,0.,0.003,0.,0.096,0.093,0.451,0.476
27,0.416,0.059,0.019,0.,0.,0.,0.093,0.091,0.568,0.584
29,0.424,0.06,0.012,0.004,0.004,0.,0.092,0.111,0.667,0.687
31,0.424,0.06,0.016,0.,0.,0.,0.091,0.09,0.819,0.839
33,0.427,0.055,0.011,0.,0.,0.,0.112,0.132,0.895,0.988
35,0.419,0.056,0.016,0.,0.004,0.,0.139,0.104,1.088,1.171
37,0.419,0.06,0.016,0.,0.,0.,0.094,0.115,1.235,1.335
39,0.427,0.071,0.032,0.004,0.,0.,0.143,0.134,1.484,1.556
41,0.424,0.06,0.016,0.004,0.004,0.,0.154,0.137,1.744,1.924
43,0.431,0.064,0.019,0.,0.004,0.,0.131,0.128,1.915,2.072
45,0.44,0.06,0.02,0.,0.004,0.,0.147,0.266,2.196,2.308
47,0.447,0.087,0.044,0.004,0.004,0.,0.112,0.131,2.484,2.588
49,0.419,0.067,0.019,0.004,0.076,0.,0.137,0.107,2.58,2.875
51,0.54,0.08,0.028,0.004,0.004,0.,0.098,0.155,2.984,3.212
53,0.419,0.068,0.02,0.076,0.004,0.,0.127,0.124,3.26,3.503
55,0.415,0.064,0.02,0.004,0.004,0.,0.101,0.152,3.708,3.955
57,0.408,0.06,0.024,0.004,0.004,0.004,0.111,0.123,4.003,4.3
59,0.415,0.06,0.02,0.003,0.004,0.,0.13,0.139,4.44,4.672
61,0.407,0.064,0.024,0.004,0.004,0.,0.099,0.097,4.868,5.235
63,0.415,0.064,0.024,0.004,0.004,0.,0.112,0.136,5.443,5.88
65,0.432,0.076,0.032,0.004,0.004,0.,0.126,0.157,5.564,6.379
67,0.431,0.072,0.027,0.,0.008,0.,0.14,0.128,6.164,7.004
69,0.432,0.067,0.027,0.004,0.004,0.,0.105,0.096,6.731,7.672
71,0.427,0.08,0.035,0.004,0.004,0.,0.096,0.124,7.547,8.275
73,0.423,0.075,0.027,0.008,0.004,0.,0.119,0.099,8.288,8.944
75,0.424,0.072,0.027,0.004,0.004,0.,0.112,0.142,9.131,9.647
77,0.419,0.072,0.032,0.004,0.004,0.,0.107,0.117,9.908,10.567
79,0.424,0.067,0.027,0.004,0.008,0.,0.137,0.119,10.82,11.408
81,0.463,0.092,0.052,0.008,0.008,0.,0.141,0.131,10.828,11.768
83,0.44,0.08,0.032,0.004,0.003,0.,0.137,0.117,11.728,12.6
85,0.451,0.092,0.048,0.004,0.004,0.,0.144,0.126,12.732,13.576
87,0.435,0.08,0.032,0.004,0.004,0.,0.137,0.149,13.883,14.74
89,0.439,0.076,0.035,0.004,0.008,0.004,0.134,0.139,14.46,15.516
91,0.432,0.08,0.032,0.004,0.008,0.,0.157,0.138,15.911,16.775
93,0.428,0.076,0.035,0.008,0.008,0.,0.133,0.107,16.908,18.072
95,0.439,0.083,0.044,0.008,0.004,0.,0.127,0.17,18.188,19.227
97,0.451,0.088,0.035,0.008,0.008,0.071,0.131,0.132,18.195,19.708
99,0.46,0.1,0.06,0.008,0.008,0.,0.131,0.103,19.623,21.02
