n,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite_strat(bottomup),cbv;rewrite_strat(topdown),cbv;setoid_rewrite
1,0.26,0.016,0.,0.004,0.004,0.
2,0.131,0.016,0.004,0.04,0.056,0.048
3,0.128,0.016,0.,0.008,0.008,0.007
4,0.128,0.016,0.004,0.016,0.016,0.008
5,0.131,0.015,0.,0.016,0.019,0.012
6,0.136,0.02,0.008,0.091,0.104,0.016
7,0.136,0.02,0.004,0.028,0.028,0.096
8,0.136,0.02,0.004,0.036,0.036,0.016
9,0.136,0.02,0.004,0.048,0.043,0.02
10,0.132,0.02,0.004,0.06,0.056,0.023
11,0.132,0.016,0.004,0.067,0.068,0.028
12,0.135,0.016,0.004,0.084,0.084,0.032
13,0.14,0.016,0.004,0.1,0.103,0.032
14,0.136,0.02,0.004,0.119,0.12,0.032
15,0.136,0.02,0.008,0.139,0.144,0.04
16,0.135,0.02,0.004,0.172,0.172,0.04
17,0.136,0.02,0.004,0.195,0.199,0.044
18,0.136,0.02,0.004,0.227,0.236,0.048
19,0.135,0.016,0.003,0.268,0.271,0.055
20,0.139,0.02,0.008,0.308,0.324,0.056
21,0.14,0.02,0.008,0.355,0.359,0.059
22,0.136,0.016,0.008,0.403,0.419,0.064
23,0.144,0.024,0.012,0.459,0.468,0.072
24,0.139,0.024,0.008,0.524,0.532,0.076
25,0.139,0.024,0.004,0.596,0.607,0.084
26,0.144,0.019,0.008,0.667,0.687,0.092
27,0.144,0.02,0.008,0.751,0.767,0.096
28,0.144,0.024,0.008,0.847,0.871,0.1
29,0.14,0.02,0.008,0.944,0.968,0.108
30,0.144,0.019,0.008,1.048,1.156,0.112
31,0.139,0.02,0.008,1.372,1.363,0.119
32,0.147,0.028,0.008,1.38,1.364,0.132
33,0.144,0.02,0.008,1.532,1.519,0.136
34,0.139,0.023,0.011,1.687,1.676,0.143
35,0.147,0.024,0.011,1.86,1.851,0.152
36,0.144,0.028,0.012,2.056,2.032,0.156
37,0.144,0.024,0.008,2.255,2.232,0.167
38,0.147,0.028,0.016,2.468,2.452,0.172
39,0.14,0.028,0.008,2.695,2.683,0.183
40,0.14,0.028,0.008,2.939,2.936,0.187
41,0.147,0.028,0.012,3.211,3.188,0.203
42,0.148,0.024,0.011,3.483,3.483,0.211
43,0.144,0.027,0.008,3.788,3.788,0.219
44,0.155,0.032,0.012,4.128,4.124,0.232
45,0.151,0.028,0.012,4.443,4.451,0.243
46,0.144,0.028,0.016,4.82,4.823,0.255
47,0.148,0.027,0.011,5.219,5.236,0.267
48,0.144,0.027,0.012,5.619,5.635,0.28
49,0.152,0.027,0.011,6.048,6.071,0.291
50,0.147,0.027,0.011,6.535,6.54,0.304
51,0.155,0.028,0.012,6.995,7.203,0.312
52,0.152,0.027,0.016,7.872,7.736,0.327
53,0.151,0.032,0.016,8.287,8.435,0.352
54,0.147,0.028,0.012,8.864,8.896,0.371
55,0.152,0.028,0.012,9.488,9.504,0.379
56,0.151,0.028,0.016,10.152,10.164,0.391
57,0.152,0.027,0.016,10.852,10.863,0.387
58,0.155,0.035,0.019,11.567,11.599,0.419
59,0.156,0.032,0.016,12.356,12.388,0.416
60,0.16,0.036,0.016,13.151,13.132,0.468
61,0.151,0.028,0.016,13.495,14.008,0.492
62,0.16,0.032,0.016,14.411,14.824,0.475
63,0.156,0.032,0.02,15.228,15.735,0.515
64,0.156,0.032,0.016,16.184,16.692,0.543
65,0.16,0.032,0.016,17.143,17.72,0.528
66,0.155,0.028,0.016,18.164,18.803,0.548
67,0.151,0.032,0.019,19.236,19.908,0.559
68,0.163,0.036,0.02,20.376,21.031,0.615
69,0.16,0.032,0.019,21.512,22.252,0.608
70,0.151,0.032,0.016,22.735,23.599,0.6
71,0.292,0.044,0.02,23.991,24.787,0.812
72,0.164,0.036,0.02,25.315,26.171,0.692
73,0.163,0.04,0.024,26.683,27.607,0.719
74,0.163,0.036,0.02,28.132,29.108,0.751
75,0.164,0.04,0.028,29.627,30.592,0.764
76,0.168,0.036,0.02,31.18,32.24,0.78
77,0.167,0.04,0.028,32.776,33.835,0.847
78,0.168,0.044,0.024,34.471,35.464,0.868
79,0.168,0.04,0.024,36.191,36.464,0.868
80,0.167,0.036,0.02,39.072,39.164,0.895
81,0.164,0.036,0.024,40.928,41.028,0.924
82,0.159,0.036,0.024,42.919,43.08,1.011
83,0.171,0.044,0.028,45.032,45.183,1.044
84,0.164,0.036,0.02,47.055,47.192,1.096
85,0.163,0.044,0.024,49.151,49.419,1.04
86,0.163,0.036,0.024,51.464,51.74,1.048
87,0.171,0.044,0.024,53.803,54.128,1.103
88,0.168,0.04,0.024,56.231,56.567,1.155
89,0.168,0.04,0.027,58.792,59.135,1.16
90,0.168,0.043,0.024,61.391,61.764,1.184
91,0.168,0.04,0.024,,,1.204
92,0.171,0.044,0.024,,,1.248
93,0.168,0.044,0.028,,,1.324
94,0.171,0.04,0.027,,,1.339
95,0.176,0.043,0.028,,,1.443
96,0.171,0.044,0.027,,,1.475
97,0.171,0.048,0.028,,,1.484
98,0.171,0.043,0.027,,,1.603
99,0.172,0.044,0.028,,,1.607
100,0.176,0.048,0.028,,,1.6
101,0.172,0.043,0.027,,,1.64
102,0.176,0.044,0.032,,,1.631
103,0.179,0.048,0.032,,,1.688
104,0.171,0.048,0.028,,,1.736
105,0.176,0.043,0.032,,,1.756
106,0.179,0.051,0.035,,,1.823
107,0.179,0.052,0.036,,,1.899
108,0.179,0.048,0.032,,,1.984
109,0.179,0.048,0.032,,,2.051
110,0.176,0.048,0.035,,,2.088
111,0.187,0.052,0.032,,,2.159
112,0.18,0.048,0.032,,,2.22
113,0.179,0.048,0.035,,,2.064
114,0.172,0.043,0.032,,,2.124
115,0.192,0.048,0.035,,,2.14
116,0.179,0.048,0.032,,,2.243
117,0.179,0.051,0.035,,,2.316
118,0.184,0.052,0.032,,,2.367
119,0.184,0.051,0.032,,,2.427
120,0.187,0.051,0.032,,,2.552
121,0.184,0.048,0.035,,,2.599
122,0.179,0.048,0.035,,,2.683
123,0.188,0.051,0.035,,,2.688
124,0.188,0.048,0.035,,,2.695
125,0.187,0.051,0.035,,,2.731
126,0.187,0.056,0.036,,,2.739
127,0.183,0.056,0.04,,,2.856
128,0.192,0.056,0.04,,,2.887
129,0.183,0.051,0.039,,,3.016
130,0.195,0.055,0.039,,,3.171
131,0.188,0.059,0.039,,,3.275
132,0.195,0.06,0.036,,,3.244
133,0.2,0.059,0.04,,,3.183
134,0.192,0.055,0.039,,,3.259
135,0.211,0.068,0.052,,,3.388
136,0.192,0.059,0.043,,,3.387
137,0.2,0.056,0.04,,,3.487
138,0.199,0.06,0.039,,,3.656
139,0.195,0.06,0.04,,,3.787
140,0.196,0.06,0.044,,,3.872
141,0.211,0.067,0.055,,,3.864
142,0.208,0.067,0.051,,,3.848
143,0.204,0.064,0.048,,,3.972
144,0.203,0.064,0.044,,,4.008
145,0.199,0.064,0.048,,,4.107
146,0.204,0.067,0.051,,,4.252
147,0.2,0.064,0.048,,,4.424
148,0.211,0.071,0.055,,,4.508
149,0.204,0.067,0.048,,,4.5
150,0.199,0.064,0.044,,,4.508
151,0.207,0.064,0.051,,,4.539
152,0.196,0.064,0.047,,,4.623
153,0.208,0.068,0.051,,,4.752
154,0.196,0.064,0.048,,,4.955
155,0.211,0.068,0.051,,,5.112
156,0.196,0.059,0.043,,,5.087
157,0.211,0.071,0.056,,,5.103
158,0.204,0.068,0.052,,,5.252
