param 0-nm,param 1-n,param 2-m,param 3-input-size,param 4-output-size,param 5-num-rewrites,param kind,param n,Rewrite_for_gen real,Rewrite_for_gen sys,Rewrite_for_gen user,Rewrite_for_gen:etransitivity_for_sides real,Rewrite_for_gen:etransitivity_for_sides sys,Rewrite_for_gen:etransitivity_for_sides user,Rewrite_for_gen:generalize_hyps_for_rewriting real,Rewrite_for_gen:generalize_hyps_for_rewriting sys,Rewrite_for_gen:generalize_hyps_for_rewriting user,Rewrite_for_gen_skip_cbv real,Rewrite_for_gen_skip_cbv sys,Rewrite_for_gen_skip_cbv user,Rewrite_lhs_for-regression-quadratic real,Rewrite_lhs_for-regression-quadratic sys,Rewrite_lhs_for-regression-quadratic user,Rewrite_lhs_for_skip_cbv-regression-quadratic real,Rewrite_lhs_for_skip_cbv-regression-quadratic sys,Rewrite_lhs_for_skip_cbv-regression-quadratic user,autorewrite-regression-cubic real,autorewrite-regression-cubic sys,autorewrite-regression-cubic user,cbn-regression-cubic real,cbn-regression-cubic sys,cbn-regression-cubic user,cbv-regression-quadratic real,cbv-regression-quadratic sys,cbv-regression-quadratic user,cps+cbn-regression-quadratic real,cps+cbn-regression-quadratic sys,cps+cbn-regression-quadratic user,cps+cbv-regression-quadratic real,cps+cbv-regression-quadratic sys,cps+cbv-regression-quadratic user,cps+lazy-regression-quadratic real,cps+lazy-regression-quadratic sys,cps+lazy-regression-quadratic user,cps+native_compute native_compute compilation real,cps+native_compute native_compute conversion to native code real,cps+native_compute native_compute evaluation real,cps+native_compute native_compute reification real,cps+native_compute-regression-quadratic real,cps+native_compute-regression-quadratic sys,cps+native_compute-regression-quadratic user,cps+simpl-regression-quadratic real,cps+simpl-regression-quadratic sys,cps+simpl-regression-quadratic user,cps+vm_compute-regression-quadratic real,cps+vm_compute-regression-quadratic sys,cps+vm_compute-regression-quadratic user,do_reify_rhs_with:notypeclasses_refine real,do_reify_rhs_with:notypeclasses_refine sys,do_reify_rhs_with:notypeclasses_refine user,do_reify_rhs_with:reify_hint real,do_reify_rhs_with:reify_hint sys,do_reify_rhs_with:reify_hint user,do_rewrite_with:refine_interp_rewrite real,do_rewrite_with:refine_interp_rewrite sys,do_rewrite_with:refine_interp_rewrite user,do_rewrite_with:refine_trans real,do_rewrite_with:refine_trans sys,do_rewrite_with:refine_trans user,do_rewrite_with:vm_cast_no_check real,do_rewrite_with:vm_cast_no_check sys,do_rewrite_with:vm_cast_no_check user,final_cbv real,final_cbv sys,final_cbv user,lazy-regression-quadratic real,lazy-regression-quadratic sys,lazy-regression-quadratic user,native_compute(1) native_compute compilation real,native_compute(1) native_compute conversion to native code real,native_compute(1) native_compute evaluation real,native_compute(1) native_compute reification real,native_compute(1)-regression-quadratic real,native_compute(1)-regression-quadratic sys,native_compute(1)-regression-quadratic user,native_compute(2) native_compute compilation real,native_compute(2) native_compute conversion to native code real,native_compute(2) native_compute evaluation real,native_compute(2) native_compute reification real,native_compute(2)-regression-quadratic real,native_compute(2)-regression-quadratic sys,native_compute(2)-regression-quadratic user,prove_Wf real,prove_Wf sys,prove_Wf user,prove_Wf_with:refine real,prove_Wf_with:refine sys,prove_Wf_with:refine user,prove_Wf_with:reflexivity real,prove_Wf_with:reflexivity sys,prove_Wf_with:reflexivity user,prove_Wf_with:split real,prove_Wf_with:split sys,prove_Wf_with:split user,prove_Wf_with:vm_compute real,prove_Wf_with:vm_compute sys,prove_Wf_with:vm_compute user,reification real,reification sys,reification user,rewrite!-regression-cubic real,rewrite!-regression-cubic sys,rewrite!-regression-cubic user,rewrite_strat(bottomup)-regression-cubic real,rewrite_strat(bottomup)-regression-cubic sys,rewrite_strat(bottomup)-regression-cubic user,rewrite_strat(bottomup)-regression-exponential real,rewrite_strat(bottomup)-regression-exponential sys,rewrite_strat(bottomup)-regression-exponential user,"rewrite_strat(bottomup,bottomup)-regression-exponential real","rewrite_strat(bottomup,bottomup)-regression-exponential sys","rewrite_strat(bottomup,bottomup)-regression-exponential user",rewrite_strat(topdown)-regression-cubic real,rewrite_strat(topdown)-regression-cubic sys,rewrite_strat(topdown)-regression-cubic user,rewrite_strat(topdown)-regression-exponential real,rewrite_strat(topdown)-regression-exponential sys,rewrite_strat(topdown)-regression-exponential user,"rewrite_strat(topdown,bottomup)-regression-exponential real","rewrite_strat(topdown,bottomup)-regression-exponential sys","rewrite_strat(topdown,bottomup)-regression-exponential user",rewriting real,rewriting sys,rewriting user,setoid_rewrite-regression-cubic real,setoid_rewrite-regression-cubic sys,setoid_rewrite-regression-cubic user,simpl-regression-cubic real,simpl-regression-cubic sys,simpl-regression-cubic user,ssr-rewrite!-regression-cubic real,ssr-rewrite!-regression-cubic sys,ssr-rewrite!-regression-cubic user,vm_compute-regression-quadratic real,vm_compute-regression-quadratic sys,vm_compute-regression-quadratic user,vm_compute_and_unify_in_rewrite real,vm_compute_and_unify_in_rewrite sys,vm_compute_and_unify_in_rewrite user
1,1,1,,,,LiftLetsMap,,0.189,0.,0.189,0.,0.,0.,0.008,0.,0.008,0.193,0.,0.193,0.189,0.,0.189,0.193,0.,0.193,,,,,,,,,,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09256,0.00029,0.00074,0.00004,0.094,0.007,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.12,0.,0.12,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,,,,,,,,,,,,,,,,,,0.011,0.,0.011,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.005,0.,0.005,0.133,0.,0.133,,,,,,,,,,0.,0.,0.,,,,,,,0.,0.,0.,0.014,0.,0.014,0.009,0.,0.009,,,,,,,,,,0.001,0.,0.001
2,1,2,,,,LiftLetsMap,,0.136,0.,0.136,0.,0.,0.,0.007,0.,0.007,0.131,0.,0.131,0.136,0.,0.136,0.132,0.,0.131,,,,,,,,,,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.09554,0.00039,0.00041,0.00005,0.096,0.007,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.075,0.,0.075,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.088,0.,0.088,,,,,,,,,,0.003,0.,0.002,,,,,,,0.002,0.,0.002,0.011,0.,0.011,0.027,0.,0.027,,,,,,,,,,0.001,0.,0.001
2,2,1,,,,LiftLetsMap,,0.12,0.,0.12,0.,0.,0.,0.008,0.,0.008,0.119,0.,0.119,0.12,0.,0.12,0.119,0.,0.119,,,,,,,,,,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.08728,0.00038,0.00044,0.00005,0.088,0.007,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.06,0.,0.06,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.073,0.,0.073,,,,,,,,,,0.002,0.,0.002,,,,,,,0.002,0.,0.002,0.012,0.,0.012,0.021,0.,0.021,,,,,,,,,,0.001,0.,0.001
3,1,3,,,,LiftLetsMap,,0.129,0.,0.129,0.,0.,0.,0.014,0.,0.014,0.122,0.003,0.118,0.129,0.,0.129,0.123,0.003,0.119,,,,,,,,,,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08900,0.00037,0.00040,0.00006,0.089,0.008,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.062,0.,0.062,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.075,0.,0.075,,,,,,,,,,0.009,0.,0.009,,,,,,,0.009,0.,0.009,0.012,0.,0.012,0.141,0.,0.141,,,,,,,,,,0.001,0.,0.001
3,3,1,,,,LiftLetsMap,,0.128,0.,0.128,0.,0.,0.,0.007,0.,0.007,0.125,0.,0.125,0.128,0.,0.128,0.126,0.,0.126,,,,,,,,,,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.08809,0.00038,0.00041,0.00005,0.089,0.011,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.063,0.,0.063,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.076,0.,0.076,,,,,,,,,,0.007,0.,0.007,,,,,,,0.007,0.,0.007,0.016,0.,0.016,0.038,0.,0.038,,,,,,,,,,0.005,0.,0.005
4,1,4,,,,LiftLetsMap,,0.12,0.003,0.116,0.,0.,0.,0.007,0.,0.007,0.115,0.,0.115,0.121,0.003,0.117,0.116,0.,0.116,,,,,,,,,,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08899,0.00037,0.00042,0.00006,0.089,0.011,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.06,0.003,0.056,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.073,0.003,0.069,,,,,,,,,,0.025,0.,0.025,,,,,,,0.025,0.,0.025,0.012,0.,0.012,0.132,0.,0.132,,,,,,,,,,0.001,0.,0.001
4,2,2,,,,LiftLetsMap,,0.123,0.,0.123,0.,0.,0.,0.008,0.,0.008,0.118,0.,0.118,0.124,0.,0.124,0.118,0.,0.118,,,,,,,,,,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.08783,0.00037,0.00045,0.00006,0.088,0.008,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.062,0.,0.062,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.076,0.,0.076,,,,,,,,,,0.012,0.,0.012,,,,,,,0.013,0.,0.013,0.012,0.,0.012,0.06,0.,0.06,,,,,,,,,,0.001,0.,0.001
4,4,1,,,,LiftLetsMap,,0.124,0.,0.124,0.,0.,0.,0.008,0.,0.008,0.12,0.,0.12,0.125,0.,0.125,0.12,0.,0.12,,,,,,,,,,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09419,0.00038,0.00044,0.00007,0.095,0.011,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.06,0.,0.06,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,,,,,,,,,,,,,,,,,,0.011,0.,0.011,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.004,0.,0.004,0.073,0.,0.073,,,,,,,,,,0.086,0.,0.086,,,,,,,0.086,0.,0.086,0.015,0.,0.015,0.059,0.,0.059,,,,,,,,,,0.002,0.,0.002
5,1,5,,,,LiftLetsMap,,0.191,0.,0.19,0.,0.,0.,0.008,0.,0.008,0.195,0.,0.195,0.191,0.,0.191,0.195,0.,0.195,,,,,,,,,,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08845,0.00030,0.00059,0.00006,0.089,0.008,0.002,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.12,0.,0.12,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,,,,,,,,,,,,,,,,,,0.011,0.,0.011,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.005,0.,0.005,0.133,0.,0.133,,,,,,,,,,0.113,0.,0.113,,,,,,,0.124,0.,0.124,0.016,0.,0.016,0.327,0.,0.326,,,,,,,,,,0.002,0.,0.002
5,5,1,,,,LiftLetsMap,,0.135,0.,0.135,0.,0.,0.,0.012,0.,0.012,0.135,0.003,0.131,0.135,0.,0.135,0.135,0.003,0.131,,,,,,,,,,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.08783,0.00038,0.00042,0.00007,0.088,0.011,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.069,0.,0.069,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.082,0.,0.082,,,,,,,,,,0.03,0.,0.03,,,,,,,0.033,0.,0.033,0.013,0.,0.013,0.095,0.,0.095,,,,,,,,,,0.002,0.,0.002
