Params: 0-nm= 6 , 1-n= 1 , 2-m= 6
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.2 secs (0.2u,0.s) (success)
Params: 0-nm= 7 , 1-n= 1 , 2-m= 7
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.192 secs (0.192u,0.s) (success)
Params: 0-nm= 12 , 1-n= 2 , 2-m= 6
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.558 secs (0.558u,0.s) (success)
Params: 0-nm= 14 , 1-n= 2 , 2-m= 7
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 1.084 secs (1.084u,0.s) (success)
Params: 0-nm= 18 , 1-n= 3 , 2-m= 6
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 1.843 secs (1.843u,0.s) (success)
Params: 0-nm= 21 , 1-n= 3 , 2-m= 7
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 3.753 secs (3.741u,0.011s) (success)
Params: 0-nm= 24 , 1-n= 4 , 2-m= 6
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 4.85 secs (4.841u,0.008s) (success)
Params: 0-nm= 28 , 1-n= 4 , 2-m= 7
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 10.379 secs (10.371u,0.007s) (success)
Params: 0-nm= 30 , 1-n= 5 , 2-m= 6
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 11.147 secs (11.131u,0.015s) (success)
Params: 0-nm= 35 , 1-n= 5 , 2-m= 7
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 23.501 secs (23.489u,0.012s) (success)
Params: 0-nm= 36 , 1-n= 6 , 2-m= 6
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 22.686 secs (22.686u,0.s) (success)
Params: 0-nm= 42 , 1-n= 6 , 2-m= 7
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 48.818 secs (48.797u,0.019s) (success)
