Params: 0-nm= 7 , 1-n= 7 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.199 secs (0.195u,0.003s) (success)
Params: 0-nm= 8 , 1-n= 1 , 2-m= 8
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.318 secs (0.314u,0.003s) (success)
Params: 0-nm= 8 , 1-n= 8 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.181 secs (0.181u,0.s) (success)
Params: 0-nm= 9 , 1-n= 1 , 2-m= 9
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.511 secs (0.507u,0.003s) (success)
Params: 0-nm= 9 , 1-n= 9 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.275 secs (0.275u,0.s) (success)
Params: 0-nm= 10 , 1-n= 1 , 2-m= 10
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.814 secs (0.81u,0.003s) (success)
Params: 0-nm= 10 , 1-n= 10 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.402 secs (0.402u,0.s) (success)
Params: 0-nm= 11 , 1-n= 1 , 2-m= 11
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 1.262 secs (1.262u,0.s) (success)
Params: 0-nm= 11 , 1-n= 11 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.569 secs (0.569u,0.s) (success)
Params: 0-nm= 12 , 1-n= 1 , 2-m= 12
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 1.933 secs (1.929u,0.003s) (success)
Params: 0-nm= 12 , 1-n= 12 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.819 secs (0.819u,0.s) (success)
Params: 0-nm= 13 , 1-n= 1 , 2-m= 13
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 3.089 secs (3.085u,0.003s) (success)
Params: 0-nm= 13 , 1-n= 13 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 1.157 secs (1.157u,0.s) (success)
Params: 0-nm= 14 , 1-n= 1 , 2-m= 14
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 4.729 secs (4.725u,0.003s) (success)
Params: 0-nm= 14 , 1-n= 7 , 2-m= 2
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.575 secs (0.575u,0.s) (success)
Params: 0-nm= 14 , 1-n= 14 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 1.546 secs (1.542u,0.003s) (success)
Params: 0-nm= 15 , 1-n= 1 , 2-m= 15
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 7.24 secs (7.208u,0.032s) (success)
Params: 0-nm= 15 , 1-n= 15 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 1.987 secs (1.979u,0.007s) (success)
Params: 0-nm= 16 , 1-n= 1 , 2-m= 16
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 11.113 secs (11.109u,0.003s) (success)
Params: 0-nm= 16 , 1-n= 2 , 2-m= 8
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 2.043 secs (2.043u,0.s) (success)
Params: 0-nm= 16 , 1-n= 8 , 2-m= 2
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 0.953 secs (0.953u,0.s) (success)
Params: 0-nm= 16 , 1-n= 16 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 2.674 secs (2.674u,0.s) (success)
Params: 0-nm= 17 , 1-n= 1 , 2-m= 17
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 17.036 secs (17.02u,0.015s) (success)
Params: 0-nm= 17 , 1-n= 17 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 3.387 secs (3.387u,0.s) (success)
Params: 0-nm= 18 , 1-n= 1 , 2-m= 18
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 26.194 secs (26.172u,0.008s) (success)
Params: 0-nm= 18 , 1-n= 2 , 2-m= 9
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 3.493 secs (3.493u,0.s) (success)
Params: 0-nm= 18 , 1-n= 9 , 2-m= 2
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 1.408 secs (1.408u,0.s) (success)
Params: 0-nm= 18 , 1-n= 18 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 4.224 secs (4.224u,0.s) (success)
Params: 0-nm= 19 , 1-n= 1 , 2-m= 19
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 38.585 secs (38.584u,0.s) (success)
Params: 0-nm= 19 , 1-n= 19 , 2-m= 1
Tactic call rewrite_strat(topdown,bottomup)-regression-exponential ran for 5.31 secs (5.31u,0.s) (success)
