Params: 0-nm= 18 , 1-n= 1 , 2-m= 18
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 26.542 secs (26.509u,0.032s) (success)
Params: 0-nm= 18 , 1-n= 2 , 2-m= 9
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 3.591 secs (3.583u,0.007s) (success)
Params: 0-nm= 18 , 1-n= 9 , 2-m= 2
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 1.367 secs (1.359u,0.007s) (success)
Params: 0-nm= 18 , 1-n= 18 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 3.358 secs (3.358u,0.s) (success)
Params: 0-nm= 20 , 1-n= 2 , 2-m= 10
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 6.444 secs (6.427u,0.015s) (success)
Params: 0-nm= 20 , 1-n= 10 , 2-m= 2
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 2.043 secs (2.043u,0.s) (success)
