Params: n= 10 ,m= 21
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.008 secs (0.007u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.227 secs (0.228u,0.s) (success)
Tactic call reification ran for 0.235 secs (0.236u,0.s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.001 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.006 secs (0.003u,0.004s) (success)
Tactic call prove_Wf_with:split ran for 0.007 secs (0.007u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0.003 secs (0.004u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0. secs (0.u,0.s) (success)
Tactic call prove_Wf ran for 0.02 secs (0.015u,0.004s) (success)
Tactic call vm_compute_and_unify_in_rewrite ran for 0.826 secs (0.82u,0.008s) (success)
Tactic call do_rewrite_with:vm_cast_no_check ran for 0.003 secs (0.004u,0.s) (success)
Tactic call rewriting ran for 0.853 secs (0.844u,0.012s) (success)
Tactic call final_cbv ran for 0.081 secs (0.079u,0.s) (success)
Tactic call Rewrite_for_gen ran for 1.194 secs (1.179u,0.012s) (success)
Tactic call Rewrite_lhs_for ran for 1.194 secs (1.184u,0.012s) (success)
Params: n= 10 ,m= 22
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.008 secs (0.007u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.156 secs (0.156u,0.s) (success)
Tactic call reification ran for 0.164 secs (0.164u,0.s) (success)
Tactic call do_rewrite_with:refine_trans ran for 0.001 secs (0.003u,0.s) (success)
Tactic call do_rewrite_with:refine_interp_rewrite ran for 0.001 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:refine ran for 0.001 secs (0.u,0.s) (success)
Tactic call prove_Wf_with:vm_compute ran for 0.004 secs (0.004u,0.s) (success)
