Params: n= 1 ,m= 4
Tactic call cbv;rewrite_strat(topdown) ran for 0.005 secs (0.004u,0.s) (success)
Params: n= 1 ,m= 5
Tactic call cbv;rewrite_strat(topdown) ran for 0.005 secs (0.003u,0.004s) (success)
Params: n= 1 ,m= 6
Tactic call cbv;rewrite_strat(topdown) ran for 0.006 secs (0.004u,0.s) (success)
Params: n= 1 ,m= 7
Tactic call cbv;rewrite_strat(topdown) ran for 0.073 secs (0.075u,0.s) (success)
Params: n= 1 ,m= 8
Tactic call cbv;rewrite_strat(topdown) ran for 0.007 secs (0.008u,0.s) (success)
Params: n= 1 ,m= 9
Tactic call cbv;rewrite_strat(topdown) ran for 0.008 secs (0.008u,0.s) (success)
Params: n= 1 ,m= 10
Tactic call cbv;rewrite_strat(topdown) ran for 0.009 secs (0.012u,0.s) (success)
Params: n= 1 ,m= 11
Tactic call cbv;rewrite_strat(topdown) ran for 0.01 secs (0.008u,0.s) (success)
Params: n= 1 ,m= 12
Tactic call cbv;rewrite_strat(topdown) ran for 0.011 secs (0.011u,0.s) (success)
Params: n= 1 ,m= 13
Tactic call cbv;rewrite_strat(topdown) ran for 0.012 secs (0.016u,0.s) (success)
Params: n= 1 ,m= 14
Tactic call cbv;rewrite_strat(topdown) ran for 0.013 secs (0.012u,0.s) (success)
Params: n= 1 ,m= 15
Tactic call cbv;rewrite_strat(topdown) ran for 0.014 secs (0.016u,0.s) (success)
Params: n= 1 ,m= 16
Tactic call cbv;rewrite_strat(topdown) ran for 0.016 secs (0.016u,0.s) (success)
Params: n= 1 ,m= 17
Tactic call cbv;rewrite_strat(topdown) ran for 0.017 secs (0.019u,0.s) (success)
Params: n= 1 ,m= 18
Tactic call cbv;rewrite_strat(topdown) ran for 0.018 secs (0.02u,0.s) (success)
Params: n= 1 ,m= 19
Tactic call cbv;rewrite_strat(topdown) ran for 0.021 secs (0.019u,0.s) (success)
Params: n= 1 ,m= 20
